Day_of_May,Victims
1,28236
2,28710
3,28884
4,29079
5,29315
6,29684
7,29958
8,30201
9,30395
10,30560
11,30739
12,30911
13,31106
14,31368
15,31610
16,31793
17,31918
18,32007
19,32169
20,32330
21,32486
22,32616
23,32735
24,32785
25,32877
26,32955
27,33072
28,33142
29,33229
30,33340
31,33415
