Model_day,Victims,Day_of_April
0,18849,10
1,19468,11
2,19899,12
3,20465,13
4,21067,14
5,21645,15
6,22170,16
7,22745,17
8,23227,18
9,23660,19
10,24114,20
11,24648,21
12,25085,22
13,25549,23
14,25969,24
15,26384,25
16,26644,26
17,26977,27
18,27359,28
19,27682,29
20,27967,30
