Model_day,Victims,Day_of_October
0,9566,6
1,9582,7
2,9545,8
3,9599,9
4,9620,10
5,9626,11
6,9640,12
7,9682,13
8,9716,14
9,9739,15
10,9773,16
11,9785,17
12,9798,18
13,9842,19
14,9882,20
15,9911,21
16,9960,22
17,10008,23
18,10035,24
19,10062,25
20,10091,26
